slug,title,videoUrl
lesson-01,Who Are You?,https://learningenglish.voanews.com/embed/player/0/6654472.html?type=video
lesson-02,What Do You Like to Eat?,https://learningenglish.voanews.com/embed/player/0/6654468.html?type=video
lesson-03,How Do You Feel?,https://learningenglish.voanews.com/embed/player/0/6654471.html?type=video
lesson-04,How Old Are You?,https://learningenglish.voanews.com/embed/player/0/6654469.html?type=video
lesson-05,What Can You Do?,https://learningenglish.voanews.com/embed/player/0/6654467.html?type=video
lesson-06,Where Do You Live?,https://learningenglish.voanews.com/embed/player/0/6727043.html?type=video
lesson-07,Where Do You Want to Visit?,https://learningenglish.voanews.com/embed/player/0/6727042.html?type=video
lesson-08,What Day Is It?,https://learningenglish.voanews.com/embed/player/0/6721197.html?type=video
lesson-09,What Are You Doing?,https://learningenglish.voanews.com/embed/player/0/6727048.html?type=video
lesson-10,What Time Is It?,https://learningenglish.voanews.com/embed/player/0/6654460.html?type=video
lesson-11,What Do You Do at the Beach?,https://learningenglish.voanews.com/embed/player/0/6833889.html?type=video
lesson-12,How Does a Garden Grow?,https://learningenglish.voanews.com/embed/player/0/6833897.html?type=video
lesson-13,What Is at a Farmers' Market?,https://learningenglish.voanews.com/embed/player/0/6833900.html?type=video
lesson-14,What Is Your Favorite Bug?,https://learningenglish.voanews.com/embed/player/0/6833899.html?type=video
lesson-15,What Is Camping?,https://learningenglish.voanews.com/embed/player/0/6833898.html?type=video
lesson-16,What Can Pets Do?,https://learningenglish.voanews.com/embed/player/0/6983046.html?type=video
lesson-17,Who Is in Your Family?,https://learningenglish.voanews.com/embed/player/0/6983025.html?type=video
lesson-18,When Is Your Birthday?,https://learningenglish.voanews.com/embed/player/0/6983026.html?type=video
lesson-19,What Do You Do at a Playground?,https://learningenglish.voanews.com/embed/player/0/6983023.html?type=video
lesson-20,What Hurts?,https://learningenglish.voanews.com/embed/player/0/6983024.html?type=video
lesson-21,What Places Are in Your Town?,https://learningenglish.voanews.com/embed/player/0/7128722.html?type=video
lesson-22,What Rooms Are in a Home?,https://learningenglish.voanews.com/embed/player/0/7227471.html?type=video
lesson-23,Where Do Wild Animals Live?,https://learningenglish.voanews.com/embed/player/0/7227475.html?type=video
lesson-24,What Is the Weather Today?,https://learningenglish.voanews.com/embed/player/0/7227470.html?type=video
lesson-25,What Games Do You Play?,https://learningenglish.voanews.com/embed/player/0/7227476.html?type=video
lesson-26,What Do You Do in a Day?,https://learningenglish.voanews.com/embed/player/0/7248543.html?type=video
lesson-27,What Are You Wearing Today?,https://learningenglish.voanews.com/embed/player/0/7248551.html?type=video
lesson-28,How Do You Go to School?,https://learningenglish.voanews.com/embed/player/0/7248541.html?type=video
lesson-29,What Do You Do in School?,https://learningenglish.voanews.com/embed/player/0/7248542.html?type=video
lesson-30,What Food Can You Make?,https://learningenglish.voanews.com/embed/player/0/7248540.html?type=video
lesson-31,What Do Friends Do Together?,https://learningenglish.voanews.com/embed/player/0/7384141.html?type=video
lesson-32,What Is Your Hobby?,https://learningenglish.voanews.com/embed/player/0/7378807.html?type=video
lesson-33,How Do You Like to Exercise?,https://learningenglish.voanews.com/embed/player/0/7378806.html?type=video
lesson-34,What Music Do You Like?,https://learningenglish.voanews.com/embed/player/0/7378805.html?type=video
lesson-35,How Do You Use Computers?,https://learningenglish.voanews.com/embed/player/0/7378823.html?type=video
lesson-36,What Is in Our Solar System?,https://learningenglish.voanews.com/embed/player/0/7490928.html?type=video
lesson-37,What Country Are You from?,https://learningenglish.voanews.com/embed/player/0/7490927.html?type=video
lesson-38,How Can You Help the Environment?,https://learningenglish.voanews.com/embed/player/0/7490930.html?type=video
lesson-39,Where Are the Dinosaurs?,https://learningenglish.voanews.com/embed/player/0/7490929.html?type=video
lesson-40,What Job Do You Want in the Future?,https://learningenglish.voanews.com/embed/player/0/7490938.html?type=video
